_input,_num,_widgetName,_source,_resultNumber,_pageUrl,column_1_number,column_2,column_3,column_4_number,column_4,column_5_number,column_6,column_7
webpage/url:http://msn.foxsports.com/collegefootball/team/wake-forest-demon-deacons-football/roster/86045?q=wake-forest-demon-deacons-football|,1387,RostersTake1,RostersTake1,85,http://msn.foxsports.com/collegefootball/team/wake-forest-demon-deacons-football/roster/86045?q=wake-forest-demon-deacons-football,39,Jaboree Williams,LB,6; 0,6'0",210,Fr,Deerfield Beach FL
webpage/url:http://msn.foxsports.com/collegefootball/team/syracuse-orange-football/roster/86055?q=syracuse-orange-football|,1478,RostersTake1,RostersTake1,85,http://msn.foxsports.com/collegefootball/team/syracuse-orange-football/roster/86055?q=syracuse-orange-football,88,Jarrod West,WR,6; 2,6'2",203,Sr,Bethlehem PA
webpage/url:http://msn.foxsports.com/collegefootball/team/north-carolina-tar-heels-football/roster/86047?q=north-carolina-tar-heels-football|,86,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/north-carolina-tar-heels-football/roster/86047?q=north-carolina-tar-heels-football,8,Norkeithus Otis,LB,6; 1,6'1",225,Sr,Gastonia NC
webpage/url:http://msn.foxsports.com/collegefootball/team/duke-blue-devils-football/roster/86041?q=duke-blue-devils-football|,219,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/duke-blue-devils-football/roster/86041?q=duke-blue-devils-football,21,Alonzo Saxton II,CB,5; 11,5'11",170,Fr,Columbus OH
webpage/url:http://msn.foxsports.com/collegefootball/team/clemson-tigers-football/roster/86040?q=clemson-tigers-football|,330,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/clemson-tigers-football/roster/86040?q=clemson-tigers-football,,Milan Richard,TE,6; 3,6'3",235,Fr,Savannah GA
webpage/url:http://msn.foxsports.com/collegefootball/team/virginia-tech-hokies-football/roster/86054?q=virginia-tech-hokies-football|,448,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/virginia-tech-hokies-football/roster/86054?q=virginia-tech-hokies-football,,Colton Taylor,LS,6; 0,6'0",207,Fr,Salem VA
webpage/url:http://msn.foxsports.com/collegefootball/team/miami-(fl)-hurricanes-football/roster/86056?q=miami-(fl)-hurricanes-football|,551,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/miami-(fl)-hurricanes-football/roster/86056?q=miami-(fl)-hurricanes-football,86,David Njoku,WR,6; 4,6'4",215,Fr,Cedar Grove NJ
webpage/url:http://msn.foxsports.com/collegefootball/team/florida-state-seminoles-football/roster/86043?q=florida-state-seminoles-football|,667,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/florida-state-seminoles-football/roster/86043?q=florida-state-seminoles-football,48,Junior St. Louis,LB,6; 2,6'2",218,Sr,Pompano Beach FL
webpage/url:http://msn.foxsports.com/collegefootball/team/louisville-cardinals-football/roster/86145?q=louisville-cardinals-football|,839,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/louisville-cardinals-football/roster/86145?q=louisville-cardinals-football,23,Brandon Radcliff,RB,5; 9,5'9",216,So,Miami FL
webpage/url:http://msn.foxsports.com/collegefootball/team/georgia-tech-yellow-jackets-football/roster/86042?q=georgia-tech-yellow-jackets-football|,956,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/georgia-tech-yellow-jackets-football/roster/86042?q=georgia-tech-yellow-jackets-football,69,Michael Preddy,OL,6; 3,6'3",270,Fr,Charleston SC
webpage/url:http://msn.foxsports.com/collegefootball/team/north-carolina-state-wolfpack-football/roster/86044?q=north-carolina-state-wolfpack-football|,1076,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/north-carolina-state-wolfpack-football/roster/86044?q=north-carolina-state-wolfpack-football,42,M.J. Salahuddin,LB,6; 2,6'2",223,Jr,Fayetteville NC
webpage/url:http://msn.foxsports.com/collegefootball/team/virginia-cavaliers-football/roster/86046?q=virginia-cavaliers-football|,1192,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/virginia-cavaliers-football/roster/86046?q=virginia-cavaliers-football,30,LaChaston Smith,RB,6; 0,6'0",215,So,Statesville NC
webpage/url:http://msn.foxsports.com/collegefootball/team/pittsburgh-panthers-football/roster/86050?q=pittsburgh-panthers-football|,1293,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/pittsburgh-panthers-football/roster/86050?q=pittsburgh-panthers-football,9,Ray Vinopal,DB,5; 10,5'10",200,Sr,Youngstown OH
webpage/url:http://msn.foxsports.com/collegefootball/team/wake-forest-demon-deacons-football/roster/86045?q=wake-forest-demon-deacons-football|,1388,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/wake-forest-demon-deacons-football/roster/86045?q=wake-forest-demon-deacons-football,83,Jonathan Williams,WR,6; 4,6'4",180,So,Atlanta GA
webpage/url:http://msn.foxsports.com/collegefootball/team/syracuse-orange-football/roster/86055?q=syracuse-orange-football|,1479,RostersTake1,RostersTake1,86,http://msn.foxsports.com/collegefootball/team/syracuse-orange-football/roster/86055?q=syracuse-orange-football,1,Julian Whigham,CB,6; 1,6'1",187,Jr,West Palm Beach FL
webpage/url:http://msn.foxsports.com/collegefootball/team/north-carolina-tar-heels-football/roster/86047?q=north-carolina-tar-heels-football|,87,RostersTake1,RostersTake1,87,http://msn.foxsports.com/collegefootball/team/north-carolina-tar-heels-football/roster/86047?q=north-carolina-tar-heels-football,79,J.J. Patterson,G,6; 4,6'4",310,Fr,Roanoke Rapids NC
